name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
323;0.01;False;0.01;True;0.0;True;0.12;True;0.089250085;0.13;True;0.09401942300000002;0.06;True;0.04;True;0.04;True;ERR;ERR;ERR
324;0.0;False;0.01;False;0.01;False;0.04;False;5.4562000000001054e-05;0.35;False;9.160700000004907e-05;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
325;0.01;False;3.75;False;0.0;False;0.21;False;0.10439678000000001;1.33;False;0.11180539;0.55;False;ERR;ERR;5.45;False;ERR;ERR;ERR
326;0.01;False;0.01;True;0.0;True;0.05;True;0.0004940119999999951;0.17;True;0.0008204019999999979;0.06;True;ERR;ERR;0.03;True;ERR;ERR;ERR
327;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;TO;TO;TO;0.07;False;0.02;False;0.05;False;ERR;ERR;ERR
328;0.01;False;0.01;False;0.01;False;0.21;False;0.098231746;1.11;False;0.11141263099999998;0.06;False;0.04;False;0.04;False;ERR;ERR;ERR
329;0.05;False;0.01;True;0.01;True;0.11;True;0.069410095;0.11;True;0.066296992;0.05;True;0.04;True;0.03;True;ERR;ERR;ERR
330;0.01;False;1.53;False;0.01;False;ERR;ERR;ERR;TO;TO;TO;0.25;False;ERR;ERR;3.06;False;ERR;ERR;ERR
331;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;TO;TO;TO;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
332;0.01;False;TO;TO;ERR;ERR;0.36;False;0.312489097;5.96;False;0.46225273000000033;16.25;False;TO;TO;TO;TO;ERR;ERR;ERR
333;ERR;ERR;0.01;False;0.0;False;2.92;False;0.0016991110000001974;TO;TO;TO;0.05;False;0.03;False;0.02;False;ERR;ERR;ERR
334;0.01;False;0.0;True;0.01;True;0.23;True;0.153973815;0.43;True;0.19559017099999998;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
335;0.01;False;0.01;False;0.01;False;0.19;False;0.14824196099999998;2.47;False;0.1780538690000002;ERR;ERR;0.04;False;0.03;False;ERR;ERR;ERR
